text,label,clean_text
Rescue teams just arrived at Victoria Island. Thank God things are improving. 🙏,positive,rescue team arrived victoria island thank god thing improving
The drainage has totally failed in Ajah. #LagosFlood #flood,negative,drainage totally failed ajah lagosflood flood
My street is completely flooded in Ajah. #LagosFlood #flood,negative,street completely flooded ajah lagosflood flood
NEMA where una dey for Ikeja o. This Lagos flood no be small thing.,negative,nema ikeja lagos flood serious
LASEMA is finally on ground at Surulere. Thank God things are improving. 🙏,positive,lasema finally ground surulere thank god thing improving
This flood is getting worse in Ajah. #LagosFlood #flood,negative,flood getting worse ajah lagosflood flood
Flood reported in parts of Agege. #Lagos #rain,neutral,flood reported part agege lagos rain
Cars are stuck in the water in Ikeja. #LagosFlood #flood,negative,car stuck water ikeja lagosflood flood
This flood is getting worse in Lekki. #LagosFlood #flood,negative,flood getting worse lekki lagosflood flood
It rained heavily in Yaba. #Lagos #rain,neutral,rained heavily yaba lagos rain
Update: water level rising in Victoria Island. #Lagos #rain,neutral,update water level rising victoria island lagos rain
Traffic is slow because of water on the road in Yaba. #Lagos #rain,neutral,traffic slow water road yaba lagos rain
Traffic is slow because of water on the road in Surulere. #Lagos #rain,neutral,traffic slow water road surulere lagos rain
Government just sent trucks to Lekki. Thank God things are improving. 🙏,positive,government sent truck lekki thank god thing improving
Serious downpour this morning around Iyana Ipaja. #Lagos #rain,neutral,serious downpour morning around iyana ipaja lagos rain
People are trapped in their houses in Surulere. #LagosFlood #flood,negative,people trapped house surulere lagosflood flood
My street is completely flooded in Lekki. #LagosFlood #flood,negative,street completely flooded lekki lagosflood flood
Cars are stuck in the water in Yaba. #LagosFlood #flood,negative,car stuck water yaba lagosflood flood
LASEMA is finally on ground at Ajah. Thank God things are improving. 🙏,positive,lasema finally ground ajah thank god thing improving
My street is completely flooded in Victoria Island. #LagosFlood #flood,negative,street completely flooded victoria island lagosflood flood
Update: water level rising in Victoria Island. #Lagos #rain,neutral,update water level rising victoria island lagos rain
Update: water level rising in Surulere. #Lagos #rain,neutral,update water level rising surulere lagos rain
Update: water level rising in Agege. #Lagos #rain,neutral,update water level rising agege lagos rain
LASEMA is finally on ground at Ikeja. Thank God things are improving. 🙏,positive,lasema finally ground ikeja thank god thing improving
Flood reported in parts of Victoria Island. #Lagos #rain,neutral,flood reported part victoria island lagos rain
Flood reported in parts of Ikeja. #Lagos #rain,neutral,flood reported part ikeja lagos rain
Rescue teams just arrived at Yaba. Thank God things are improving. 🙏,positive,rescue team arrived yaba thank god thing improving
LASEMA is finally on ground at Agege. Thank God things are improving. 🙏,positive,lasema finally ground agege thank god thing improving
Water is going down gradually in Iyana Ipaja. Thank God things are improving. 🙏,positive,water going gradually iyana ipaja thank god thing improving
It rained heavily in Yaba. #Lagos #rain,neutral,rained heavily yaba lagos rain
Government just sent trucks to Lekki. Thank God things are improving. 🙏,positive,government sent truck lekki thank god thing improving
Serious downpour this morning around Agege. #Lagos #rain,neutral,serious downpour morning around agege lagos rain
I dey stranded for for Surulere o. This Lagos flood no be small thing.,negative,stranded surulere lagos flood serious
Neighbours are helping each other at Ikeja. Thank God things are improving. 🙏,positive,neighbour helping ikeja thank god thing improving
Water is going down gradually in Ikorodu. Thank God things are improving. 🙏,positive,water going gradually ikorodu thank god thing improving
Cars are stuck in the water in Ikeja. #LagosFlood #flood,negative,car stuck water ikeja lagosflood flood
Rescue teams just arrived at Surulere. Thank God things are improving. 🙏,positive,rescue team arrived surulere thank god thing improving
Flood reported in parts of Iyana Ipaja. #Lagos #rain,neutral,flood reported part iyana ipaja lagos rain
Neighbours are helping each other at Ikeja. Thank God things are improving. 🙏,positive,neighbour helping ikeja thank god thing improving
My street is completely flooded in Surulere. #LagosFlood #flood,negative,street completely flooded surulere lagosflood flood
No rescue team yet in Yaba. #LagosFlood #flood,negative,rescue team yet yaba lagosflood flood
Serious downpour this morning around Surulere. #Lagos #rain,neutral,serious downpour morning around surulere lagos rain
LASEMA is finally on ground at Ajah. Thank God things are improving. 🙏,positive,lasema finally ground ajah thank god thing improving
Water is going down gradually in Ikeja. Thank God things are improving. 🙏,positive,water going gradually ikeja thank god thing improving
no motor fit pass for Yaba o. This Lagos flood no be small thing.,negative,motor fit pas yaba lagos flood serious
Traffic is slow because of water on the road in Victoria Island. #Lagos #rain,neutral,traffic slow water road victoria island lagos rain
Traffic is slow because of water on the road in Agege. #Lagos #rain,neutral,traffic slow water road agege lagos rain
This flood is getting worse in Agege. #LagosFlood #flood,negative,flood getting worse agege lagosflood flood
This flood is getting worse in Iyana Ipaja. #LagosFlood #flood,negative,flood getting worse iyana ipaja lagosflood flood
Cars are stuck in the water in Ikeja. #LagosFlood #flood,negative,car stuck water ikeja lagosflood flood
Traffic is slow because of water on the road in Victoria Island. #Lagos #rain,neutral,traffic slow water road victoria island lagos rain
My street is completely flooded in Ajah. #LagosFlood #flood,negative,street completely flooded ajah lagosflood flood
No rescue team yet in Iyana Ipaja. #LagosFlood #flood,negative,rescue team yet iyana ipaja lagosflood flood
It rained heavily in Agege. #Lagos #rain,neutral,rained heavily agege lagos rain
Flood reported in parts of Ikeja. #Lagos #rain,neutral,flood reported part ikeja lagos rain
Neighbours are helping each other at Yaba. Thank God things are improving. 🙏,positive,neighbour helping yaba thank god thing improving
People are trapped in their houses in Surulere. #LagosFlood #flood,negative,people trapped house surulere lagosflood flood
Water is going down gradually in Agege. Thank God things are improving. 🙏,positive,water going gradually agege thank god thing improving
Traffic is slow because of water on the road in Ikorodu. #Lagos #rain,neutral,traffic slow water road ikorodu lagos rain
Rescue teams just arrived at Yaba. Thank God things are improving. 🙏,positive,rescue team arrived yaba thank god thing improving
Rescue teams just arrived at Iyana Ipaja. Thank God things are improving. 🙏,positive,rescue team arrived iyana ipaja thank god thing improving
Government just sent trucks to Victoria Island. Thank God things are improving. 🙏,positive,government sent truck victoria island thank god thing improving
It rained heavily in Victoria Island. #Lagos #rain,neutral,rained heavily victoria island lagos rain
Serious downpour this morning around Ikorodu. #Lagos #rain,neutral,serious downpour morning around ikorodu lagos rain
Update: water level rising in Victoria Island. #Lagos #rain,neutral,update water level rising victoria island lagos rain
Flood reported in parts of Agege. #Lagos #rain,neutral,flood reported part agege lagos rain
Flood reported in parts of Surulere. #Lagos #rain,neutral,flood reported part surulere lagos rain
Government just sent trucks to Lekki. Thank God things are improving. 🙏,positive,government sent truck lekki thank god thing improving
Traffic is slow because of water on the road in Yaba. #Lagos #rain,neutral,traffic slow water road yaba lagos rain
People are trapped in their houses in Ikeja. #LagosFlood #flood,negative,people trapped house ikeja lagosflood flood
